target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;source_modes;first_date;last_date
"";"ozon";"ekzifol";"active";"API without registry pair; Ozon";"34178";"116";"ekzifol";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"arterol";"active";"API without registry pair; Ozon";"34072";"54";"arterol";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"daoshen_75ml";"active";"API without registry pair; WB";"33347";"31";"daoshen_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"chudofrukt";"active";"API without registry pair; Yandex Market";"33150";"51";"Шипучие таблетки для похудения, детокс, жиросжигатель,  средство для похудения, Алтея, Чудо фрукт, 10 таблеток";"?.??????";"yandex-market-api-direct-sku";"2026-05-01";"2026-05-04"
"";"ozon";"osteofast";"active";"API without registry pair; Ozon";"33024";"68";"osteofast";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"dardrakona";"active";"API without registry pair; Ozon";"31338";"52";"dardrakona";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"vetonus";"active";"API without registry pair; WB";"31263";"41";"vetonus";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"fbs_syvorotka_dlya_lica_30ml";"active";"API without registry pair; Yandex Market";"28944";"30";"Сыворотка для лица с ниацинамидом от прыщей и черных точек, от  пигментации, Алтея, 30 мл";"?.??????";"yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"vetonus_100ml";"active";"API without registry pair; WB";"28793";"26";"vetonus_100ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"osteofast";"active";"API without registry pair; WB";"28463";"36";"osteofast";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"daoshen_75ml";"active";"API without registry pair; Ozon";"28296";"30";"daoshen_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"gemorekt";"active";"API without registry pair; Yandex Market";"28050";"51";"gemorekt";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"pirantox";"active";"API without registry pair; Yandex Market";"27924";"33";"Антипаразитарный комплекс от глистов, очищение организма от паразитов, детокс, Алтея, Пирантокс, 10 капсул";"?.??????";"yandex-market-api-direct-sku";"2026-05-01";"2026-05-13"
"";"ya";"insulight";"active";"API without registry pair; Yandex Market";"27807";"33";"insulight";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"sustalit_30ml_1_1";"active";"API without registry pair; WB";"27675";"21";"sustalit_30ml_1_1";"WB";"wb-api-direct-sku";"2026-05-01";"2026-05-13"
"";"ya";"sustalit_75ml";"active";"API without registry pair; Yandex Market";"26946";"45";"sustalit_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"varifit";"active";"API without registry pair; WB";"26732";"39";"varifit";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"pantogor_100ml";"active";"API without registry pair; Yandex Market";"26136";"30";"pantogor_100ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"varifit";"active";"API without registry pair; Ozon";"25974";"46";"varifit";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"sanatsin_1_1";"active";"API without registry pair; WB";"25723";"10";"sanatsin_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"allicil_gribok15ml";"active";"API without registry pair; Yandex Market";"24954";"48";"allicil_gribok15ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"ekzifol";"active";"API without registry pair; Yandex Market";"23937";"36";"ekzifol";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"trezor";"active";"API without registry pair; Ozon";"23779";"37";"trezor";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"khvoinitsa";"active";"API without registry pair; Ozon";"22903";"49";"khvoinitsa";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-04";"2026-05-15"
"";"ya";"enteroshol";"active";"API without registry pair; Yandex Market";"22629";"27";"Таблетки от изжоги, для желудка и печени, средство для улучшения пищеварения, нормализация ЖКТ  Энтеросхол, 20 капсул";"?.??????";"yandex-market-api-direct-sku";"2026-05-05";"2026-05-14"
"";"ya";"psoral_50ml";"active";"API without registry pair; Yandex Market";"22395";"36";"psoral_50ml";"WB, Ozon, ?.??????, ??";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku, SKU_месяцы";"2026-05-01";"2026-05-15"
"";"ya";"sanatsin_1_1";"active";"API without registry pair; Yandex Market";"21555";"24";"sanatsin_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"psoral";"active";"API without registry pair; Ozon";"21378";"37";"psoral";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"trezor";"active";"API without registry pair; Yandex Market";"21054";"27";"trezor";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"allicil_gribok15ml";"active";"API without registry pair; Ozon";"20950";"64";"allicil_gribok15ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"artoks_75ml";"active";"API without registry pair; Yandex Market";"20937";"30";"artoks_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"synergel_60ml";"active";"API without registry pair; Yandex Market";"20568";"30";"synergel_60ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"dardrakona_1_1";"active";"API without registry pair; Yandex Market";"20469";"27";"dardrakona_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"erobrut";"active";"API without registry pair; Ozon";"18707";"35";"erobrut";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"daoshen_75ml";"active";"API without registry pair; Yandex Market";"18618";"33";"daoshen_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"sanatsin";"active";"API without registry pair; Yandex Market";"18021";"30";"sanatsin";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"vetonus_1_1";"active";"API without registry pair; Ozon";"17860";"27";"vetonus_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-14"
"";"ozon";"wbbiotrin";"active";"API without registry pair; Ozon";"17774";"17";"wbbiotrin";"Ozon";"ozon-api-direct-sku";"2026-05-03";"2026-05-13"
"";"ya";"chudogrib";"active";"API without registry pair; Yandex Market";"17490";"21";"chudogrib";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"fbs_trezvin";"active";"API without registry pair; Yandex Market";"17136";"21";"Капсулы от алкогольной зависимости Трезвин,  детокс организма,  средство от алкоголизма и запоя,  20 шт";"?.??????";"yandex-market-api-direct-sku";"2026-05-03";"2026-05-13"
"";"ya";"wboptitrin";"active";"API without registry pair; Yandex Market";"17088";"21";"wboptitrin";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-02";"2026-05-15"
"";"ya";"micolan";"active";"API without registry pair; Yandex Market";"16782";"30";"micolan";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"fruitalica";"active";"API without registry pair; Yandex Market";"16422";"33";"fruitalica";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"arterol_1_1";"active";"API without registry pair; Ozon";"15883";"18";"arterol_1_1";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"dardrakona_75ml";"active";"API without registry pair; WB";"15862";"20";"dardrakona_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-14"
"";"wb";"vetonus_1_1";"active";"API without registry pair; WB";"15260";"13";"vetonus_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-14"
"";"wb";"psoral_50ml";"active";"API without registry pair; WB";"14794";"17";"psoral_50ml";"WB, Ozon, ?.??????, ??";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku, SKU_месяцы";"2026-05-01";"2026-05-15"
"";"ozon";"wboptitrin";"active";"API without registry pair; Ozon";"14411";"37";"wboptitrin";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-02";"2026-05-15"
"";"ozon";"okucin";"active";"API without registry pair; Ozon";"14144";"31";"okucin";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"kardicin_1_1";"active";"API without registry pair; Yandex Market";"13692";"12";"kardicin_1_1";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-03";"2026-05-15"
"";"wb";"uromax_1_1";"active";"API without registry pair; WB";"13374";"7";"uromax_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
