action;target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;first_date;last_date;suggested_target_sku;suggested_confidence;suggested_name;decision_comment
"";"";"wb";"urolgan";"active";"API SKU without registry pair";"15116";"30";"urolgan";"wb";"2026-05-02";"2026-05-27";"";"";"";""
"";"";"wb";"wbgetsizegel";"active";"API SKU without registry pair";"11492";"26";"wbgetsizegel";"wb";"2026-05-02";"2026-05-28";"";"";"";""
"";"";"wb";"mycoplax_1_1";"active";"API SKU without registry pair";"10964";"6";"mycoplax_1_1";"wb";"2026-05-01";"2026-05-17";"";"";"";""
"";"";"ozon";"wowglam";"active";"API SKU without registry pair";"10086";"7";"wowglam";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"varifit_1_1";"active";"API SKU without registry pair";"9490";"7";"varifit_1_1";"wb";"2026-05-11";"2026-05-26";"";"";"";""
"";"";"wb";"wbbiotrin_1_1_1";"active";"API SKU without registry pair";"9385";"6";"wbbiotrin_1_1_1";"wb";"2026-05-05";"2026-05-11";"";"";"";""
"";"";"wb";"erobrut";"active";"API SKU without registry pair";"6407";"9";"erobrut";"wb";"2026-05-08";"2026-05-28";"";"";"";""
"";"";"ozon";"t34poten10caps";"active";"API SKU without registry pair";"5657";"9";"t34poten10caps";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"wbpantogor_1_1";"active";"API SKU without registry pair";"4520";"3";"wbpantogor_1_1";"wb";"2026-05-10";"2026-05-27";"";"";"";""
"";"";"goldapple";"psoral_50ml";"active";"API SKU without registry pair";"4464";"4";"Крем специального назначения «Псоридонт» 50 мл";"goldapple";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"artoks_1_1";"active";"API SKU without registry pair";"4379";"3";"artoks_1_1";"wb";"2026-05-04";"2026-05-17";"";"";"";""
"";"";"wb";"khvoinitsa";"active";"API SKU without registry pair";"4362";"6";"khvoinitsa";"wb";"2026-05-05";"2026-05-28";"";"";"";""
"";"";"ozon";"syvorotka_vit_C_30ml";"active";"API SKU without registry pair";"4117";"20";"syvorotka_vit_C_30ml";"ozon";"2026-05-05";"2026-05-28";"";"";"";""
"";"";"ozon";"dardrakona_75ml";"active";"API SKU without registry pair";"2092";"5";"dardrakona_75ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"4281043558";"active";"API SKU without registry pair";"1586";"2";"4281043558";"ozon";"2026-05-15";"2026-05-26";"";"";"";""
"";"";"ozon";"mikardin plus_BAD_60 caps";"active";"API SKU without registry pair";"1128";"1";"mikardin plus_BAD_60 caps";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"4094166081";"active";"API SKU without registry pair";"1077";"1";"4094166081";"ozon";"2026-05-01";"2026-05-05";"";"";"";""
"";"";"wb";"wbgetsize";"active";"API SKU without registry pair";"984";"1";"wbgetsize";"wb";"2026-05-02";"2026-05-02";"";"";"";""
"";"";"wb";"kinzhal";"active";"API SKU without registry pair";"845";"1";"kinzhal";"wb";"2026-05-28";"2026-05-28";"";"";"";""
"";"";"ozon";"wbalkotoxic";"active";"API SKU without registry pair";"511";"1";"wbalkotoxic";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"t34poten10caps";"active";"API SKU without registry pair";"445";"1";"t34poten10caps";"wb";"2026-05-22";"2026-05-22";"";"";"";""
"";"";"ozon";"4143253129";"active";"API SKU without registry pair";"240";"1";"4143253129";"ozon";"2026-05-01";"2026-05-15";"";"";"";""
